Line Item,DoDI 8500.2 Security Control Acronym,NIST SP 800-53 Rev 4 Security Control Acronym
120,IATS-2,IA-5; IA-5(2); SC-12; SC-12-(4)(5)
121,PECF-1,PE-2; PE-2(1); PE-3; PE-7
122,PECF-2,PE-2; PE-2(3); PE-3; PE-7
123,PECS-1,MP-6; MP-6(1)(4)
124,PECS-2,MA-2; MP-6; MP-6(1)(5)
125,PEDD-1,MP-6
126,PEDI-1,PE-5
127,PEEL-1,PE-12
128,PEEL-2,PE-12; PE-12(1)
129,PEFD-1,PE-13
130,PEFD-2,PE-13; PE-13(1)(2)
131,PEFI-1,PE-13; PE-13(4)
132,PEFS-1,PE-13
133,PEFS-2,PE-13; PE-13(1)(2)
134,PEHC-1,PE-14; PE-14(1)(2)
135,PEHC-2,PE-14; PE-14(1)
136,PEMS-1,PE-10
137,PEPF-1,PE-3; PE-3(3)
138,PEPF-2 ,PE-2; PE-2(2); PE-3; PE-3(3); PE-8
139,PEPS-1,PE-3; PE-3(6)
140,PESL-1,AC-11; AC-11(1)
141,PESP-1,MP-1; MP-2; SI-12
142,PESS-1,MP-4
143,PETC-1,PE-14; PE-14(2)
144,PETC-2,PE-14; PE-14(1)
145,PETN-1,AT-3; AT-3(1)
146,PEVC-1,PE-3; PE-7; PE-8
147,PEVR-1,PE-9; PE-9(2)
148,PRAS-1,PS-1; PS-6
149,PRAS-2,PS-1; PS-6; PS-6(2)
150,PRMP-1,MA-5
151,PRMP-2,MA-5; MA-5(1)(2)(3)
152,PRNK-1,PS-6; PS-6(1)(2)
153,PRRB-1,PL-4; PS-8
154,PRTN-1 ,AT-2; AT-3; CM-9; CM-9(1); CP-3; IR-2
155,VIIR-1 ,IR-2; IR-3; IR-4; IR-5; IR-6; IR-7; IR-7(2); IR-8
156,VIIR-2 ,IR-2; IR-3; IR-4; IR-5; IR-6; IR-7; IR-7(2); IR-8
157,VIVM-1,CA-8;  RA-5; SI-2; SI-2(1)(2)
